Unit,Units_Use,Units_Mult,Costs_Unit_inv,GWP_Unit_constr,lifetime
Air_Conditioner_Air_Building1,0,0,0,0,20
Air_Conditioner_Air_Building2,0,0,0,0,20
Air_Conditioner_Air_Building3,0,0,0,0,20
Air_Conditioner_DHN_Building1,0,0,0,0,20
Air_Conditioner_DHN_Building2,0,0,0,0,20
Air_Conditioner_DHN_Building3,0,0,0,0,20
Battery_Building1,0,0,0,0,10
Battery_Building2,0,0,0,0,10
Battery_Building3,0,0,0,0,10
Battery_district,0,0,0,0,10
DHN_hex_in_Building1,0,0,0,0,20
DHN_hex_in_Building2,0,0,0,0,20
DHN_hex_in_Building3,0,0,0,0,20
DHN_hex_out_Building1,0,0,0,0,20
DHN_hex_out_Building2,0,0,0,0,20
DHN_hex_out_Building3,0,0,0,0,20
DHN_out_district,0,0,0,0,20
DHN_pipes_Building1,0,0,0,0,60
DHN_pipes_Building2,0,0,0,0,60
DHN_pipes_Building3,0,0,0,0,60
EV_district,0,0,0,0,10
ElectricalHeater_DHW_Building1,0,0,0,0,20
ElectricalHeater_DHW_Building2,0,0,0,0,20
ElectricalHeater_DHW_Building3,0,0,0,0,20
ElectricalHeater_SH_Building1,0,0,0,0,20
ElectricalHeater_SH_Building2,0,0,0,0,20
ElectricalHeater_SH_Building3,0,0,0,0,20
HeatPump_Air_Building1,1,160,0,0,20
HeatPump_Air_Building2,0,0,0,0,20
HeatPump_Air_Building3,0,0,0,0,20
HeatPump_DHN_Building1,0,0,0,0,20
HeatPump_DHN_Building2,0,0,0,0,20
HeatPump_DHN_Building3,0,0,0,0,20
HeatPump_Geothermal_Building1,0,0,0,0,20
HeatPump_Geothermal_Building2,0,0,0,0,20
HeatPump_Geothermal_Building3,1,160,0,0,20
HeatPump_Geothermal_district,0,0,0,0,25
NG_Boiler_Building1,0,0,0,0,20
NG_Boiler_Building2,1,115,0,0,20
NG_Boiler_Building3,0,0,0,0,20
NG_Boiler_district,0,0,0,0,20
NG_Cogeneration_Building1,0,0,0,0,20
NG_Cogeneration_Building2,0,0,0,0,20
NG_Cogeneration_Building3,0,0,0,0,20
NG_Cogeneration_district,0,0,0,0,25
OIL_Boiler_Building1,1,810.0,0,0,20
OIL_Boiler_Building2,1,270.0,0,0,20
OIL_Boiler_Building3,0,0.0,0,0,20
PV_Building1,0,0,0,0,25
PV_Building2,0,0,0,0,25
PV_Building3,0,0,0,0,25
ThermalSolar_Building1,1,16.24,0,0,20
ThermalSolar_Building2,0,0,0,0,20
ThermalSolar_Building3,0,0,0,0,20
WOOD_Stove_Building1,0,0,0,0,20
WOOD_Stove_Building2,0,0,0,0,20
WOOD_Stove_Building3,0,0,0,0,20
WaterTankDHW_Building1,0,0,0,0,20
WaterTankDHW_Building2,0,0,0,0,20
WaterTankDHW_Building3,0,0,0,0,20
WaterTankSH_Building1,0,0,0,0,20
WaterTankSH_Building2,0,0,0,0,20
WaterTankSH_Building3,0,0,0,0,20
